tower_id,tower_name,node_id,voltage_kv,elevation_m,height_m,terrain_slope_deg,install_cost_billion,land_type,environment_risk,policy_risk,accessibility_score,nearest_node_id,source
TOWER_SPEC_GEOCHANG,거창 송전탑,TOWER_GEOCHANG,345,,68,9.5,14.8,mountain,0.32,0.22,0.58,TOWER_CHANGWON,csv
TOWER_SPEC_SEOUL,서울 송전탑,TOWER_SEOUL,345,,62,3.0,18.5,urban,0.42,0.55,0.82,PLANT_INCHEON,csv
TOWER_SPEC_GANGNEUNG,강릉 송전탑,TOWER_GANGNEUNG,345,,70,11.0,15.2,mountain,0.36,0.24,0.55,PLANT_SOKCHO,csv
TOWER_SPEC_DAEJEON,대전 송전탑,TOWER_DAEJEON,345,,65,5.5,13.0,suburban,0.20,0.18,0.78,TOWER_CHEONGJU,csv
TOWER_SPEC_CHUNCHEON,춘천 송전탑,TOWER_CHUNCHEON,345,,66,8.8,14.2,mountain,0.30,0.20,0.62,TOWER_SEOUL,csv
TOWER_SPEC_JEJU,제주도 송전탑,TOWER_JEJU,154,,58,7.2,16.0,island,0.38,0.30,0.50,TOWER_HAENAM,csv
TOWER_SPEC_GUMI,구미 송전탑,TOWER_GUMI,345,,64,4.5,12.4,industrial,0.18,0.16,0.80,TOWER_SANGJU,csv
TOWER_SPEC_DAEGU,대구 송전탑,TOWER_DAEGU,345,,63,3.8,13.1,urban,0.24,0.28,0.84,TOWER_GUMI,csv
TOWER_SPEC_CHANGWON,창원 송전탑,TOWER_CHANGWON,345,,64,5.2,13.7,industrial,0.22,0.20,0.76,PLANT_BUSAN,csv
TOWER_SPEC_YEONGCHEON,영천 송전탑,TOWER_YEONGCHEON,345,,66,6.4,13.4,rural,0.21,0.18,0.72,TOWER_DAEGU,csv
TOWER_SPEC_SANGJU,상주 송전탑,TOWER_SANGJU,345,,65,6.8,13.3,rural,0.22,0.17,0.70,TOWER_CHEONGJU,csv
TOWER_SPEC_HAENAM,해남 송전탑,TOWER_HAENAM,345,,67,7.5,14.1,coastal,0.29,0.21,0.61,TOWER_NAJU,csv
TOWER_SPEC_SUWON,수원 송전탑,TOWER_SUWON,345,,62,2.8,17.8,urban,0.40,0.50,0.84,TOWER_SEOUL,csv
TOWER_SPEC_PYEONGTAEK,평택 송전탑,TOWER_PYEONGTAEK,345,,63,3.4,16.2,industrial,0.30,0.32,0.80,TOWER_SUWON,csv
TOWER_SPEC_CHEONGJU,청주 송전탑,TOWER_CHEONGJU,345,,64,4.6,13.6,suburban,0.22,0.20,0.77,TOWER_DAEJEON,csv
TOWER_SPEC_WONJU,원주 송전탑,TOWER_WONJU,345,,68,8.0,14.5,mountain,0.31,0.21,0.60,TOWER_CHUNCHEON,csv
TOWER_SPEC_JEONJU,전주 송전탑,TOWER_JEONJU,345,,65,4.4,13.5,suburban,0.23,0.20,0.76,TOWER_DAEJEON,csv
TOWER_SPEC_NAJU,나주 송전탑,TOWER_NAJU,345,,64,3.9,13.2,rural,0.24,0.19,0.74,PLANT_GWANGJU,csv
TOWER_SPEC_TAEAN,태안 송전탑,TOWER_TAEAN,345,,61,4.8,15.0,coastal,0.34,0.24,0.63,PLANT_TAEAN,csv
TOWER_SPEC_DANGJIN,당진 송전탑,TOWER_DANGJIN,345,,62,3.7,14.6,industrial,0.28,0.27,0.78,PLANT_DANGJIN,csv
TOWER_SPEC_SAMCHEOK,삼척 송전탑,TOWER_SAMCHEOK,345,,70,10.5,15.4,mountain,0.37,0.23,0.54,PLANT_SAMCHEOK,csv
TOWER_SPEC_HADONG,하동 송전탑,TOWER_HADONG,345,,66,7.8,14.5,mountain,0.30,0.19,0.59,PLANT_HADONG,csv
TOWER_SPEC_YEONGGWANG,영광 송전탑,TOWER_YEONGGWANG,345,,63,5.0,14.0,coastal,0.28,0.20,0.65,PLANT_YEONGGWANG,csv
TOWER_SPEC_WOLSEONG,월성 송전탑,TOWER_WOLSEONG,345,,65,5.8,13.8,coastal,0.27,0.22,0.70,PLANT_WOLSEONG,csv
